step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.47255,0.252079,448,1674,0.144996,2.64709,0
2500,-0.46377,0.23148,501,1833,0.712306,1.10994,159
5000,-0.461035,0.231261,512,1865,0.833384,1.36748,191
7500,-0.456342,0.233305,524,1891,0.775924,1.42235,217
10000,-0.45357,0.235552,533,1912,0.728341,1.08035,238
12500,-0.451591,0.233497,537,1919,0.7636,1.06844,245
15000,-0.449834,0.233545,543,1933,0.62088,1.29338,259
17500,-0.446056,0.236861,552,1956,0.679228,1.24624,282
20000,-0.446227,0.235039,558,1975,0.791525,1.12727,301
22500,-0.447191,0.235157,559,1982,0.725414,1.20883,308
25000,-0.446004,0.234472,561,1985,0.646849,1.14107,311
27500,-0.446885,0.232251,564,2000,0.749017,1.09437,326
30000,-0.446847,0.232248,566,2008,0.680162,1.09755,334
32500,-0.449506,0.233404,566,2018,0.651166,1.25923,344
35000,-0.447907,0.235655,571,2030,0.737429,1.22337,356
37500,-0.446573,0.236142,575,2039,0.575612,1.27224,365
40000,-0.446849,0.234543,577,2049,0.64435,1.10489,375
42500,-0.448488,0.235985,577,2053,0.698485,1.10843,379
45000,-0.448488,0.23665,577,2053,0.281531,1.1125,379
47500,-0.449045,0.238355,578,2059,0.711275,1.09467,385
50000,-0.448992,0.233718,579,2062,0.638701,1.11174,388
52500,-0.448515,0.234612,580,2065,0.751623,1.11277,391
55000,-0.446558,0.238814,583,2068,0.585265,1.1321,394
57500,-0.447754,0.232905,583,2073,0.727247,1.09967,399
60000,-0.447456,0.23184,585,2078,0.744985,1.1064,404
62500,-0.447456,0.231993,585,2078,0.726288,1.10538,404
65000,-0.446738,0.233574,586,2080,0.700498,1.11426,406
67500,-0.446932,0.23195,586,2081,0.594958,1.12644,407
70000,-0.447326,0.230761,587,2086,0.722462,1.10903,412
72500,-0.447901,0.231157,587,2089,0.624752,1.10028,415
75000,-0.447306,0.231193,589,2094,0.66222,1.0946,420
77500,-0.446986,0.233989,591,2102,0.620692,1.10136,428
80000,-0.447743,0.232736,591,2106,0.714388,1.10654,432
82500,-0.44755,0.232321,592,2109,0.73667,1.10319,435
85000,-0.447644,0.23173,593,2113,0.747284,1.10559,439
87500,-0.447707,0.230858,594,2118,0.741636,1.0903,444
90000,-0.447959,0.233212,597,2128,0.703874,1.08626,454
92500,-0.446941,0.235465,600,2133,0.644838,1.0979,459
95000,-0.444266,0.240612,604,2138,0.233735,1.09232,464
97500,-0.443493,0.239975,605,2139,0.416639,1.47469,465
100000,-0.443493,0.23935,605,2139,0.476338,1.39939,465
