step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,0.0200802,0.526183,860,1686,0.182048,2.44237,0
2500,0.0119522,0.476768,925,1825,0.829382,1.10062,139
5000,0.0159849,0.469521,948,1863,0.822938,1.08906,177
7500,0.0129178,0.467888,957,1887,0.850332,1.08847,201
10000,0.0122369,0.467719,963,1899,0.834626,1.08051,213
12500,0.014248,0.468389,967,1903,0.827726,1.07717,217
15000,0.0128876,0.467438,968,1908,0.821371,1.07196,222
17500,0.0121677,0.465486,969,1911,0.818039,1.07576,225
20000,0.0123889,0.46508,971,1914,0.825094,1.08024,228
22500,0.0120385,0.467013,974,1920,0.815744,1.07943,234
25000,0.0123964,0.467127,979,1929,0.820909,1.08455,243
27500,0.0103566,0.466236,979,1933,0.82801,1.08556,247
30000,0.0113259,0.465647,983,1938,0.836235,1.08765,252
32500,0.0106881,0.465441,987,1947,0.847321,1.09299,261
35000,0.0116699,0.465376,989,1949,0.849299,1.09232,263
37500,0.0130664,0.4656,993,1954,0.839493,1.08933,268
40000,0.0130675,0.46806,994,1956,0.846441,1.09836,270
42500,0.0126657,0.468509,994,1957,0.847585,1.08951,271
45000,0.0127296,0.467075,996,1961,0.841479,1.08959,275
47500,0.0112702,0.466875,997,1966,0.842495,1.0859,280
50000,0.0102613,0.46679,997,1968,0.83764,1.09188,282
52500,0.0110056,0.465762,1000,1972,0.832855,1.09366,286
55000,0.0110056,0.466745,1000,1972,0.829917,1.09056,286
57500,0.0110056,0.468115,1000,1972,0.828936,1.08441,286
60000,0.0111202,0.467582,1001,1974,0.832351,1.07991,288
62500,0.0113147,0.46775,1004,1979,0.823731,1.08739,293
65000,0.0114841,0.467194,1007,1984,0.812898,1.0814,298
67500,0.0109393,0.46668,1008,1987,0.807804,1.08609,301
70000,0.0114782,0.466743,1009,1988,0.830091,1.08954,302
72500,0.0107383,0.466306,1010,1991,0.824727,1.08732,305
75000,0.0107383,0.466801,1010,1991,0.828895,1.08585,305
77500,0.0107383,0.467329,1010,1991,0.832983,1.0905,305
80000,0.0112482,0.467092,1011,1992,0.815042,1.09675,306
82500,0.0112482,0.466432,1011,1992,0.808737,1.0976,306
85000,0.0130431,0.466453,1014,1995,0.812039,1.10718,309
87500,0.0119188,0.466412,1014,1997,0.82401,1.10484,311
90000,0.0115191,0.465944,1014,1998,0.808619,1.11564,312
92500,0.0110345,0.465633,1014,1999,0.801723,1.10944,313
95000,0.0105991,0.465504,1014,2000,0.804503,1.10406,314
97500,0.0102736,0.464977,1014,2001,0.806941,1.11553,315
100000,0.0102736,0.46539,1014,2001,0.809085,1.10661,315
