step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.551209,0.215679,393,1686,0.182048,2.44237,0
2500,-0.552905,0.173075,424,1835,0.855913,1.07676,149
5000,-0.546702,0.169888,441,1885,0.853283,1.10303,199
7500,-0.54885,0.170048,445,1908,0.859144,1.09096,222
10000,-0.547811,0.170432,447,1913,0.804909,1.16373,227
12500,-0.547238,0.170068,449,1921,0.786434,1.10577,235
15000,-0.546225,0.170337,451,1926,0.733617,1.07467,240
17500,-0.547847,0.170923,452,1937,0.799228,1.07034,251
20000,-0.546847,0.171851,454,1942,0.817626,1.07432,256
22500,-0.546578,0.171566,455,1946,0.80404,1.08104,260
25000,-0.545835,0.171125,457,1950,0.786079,1.09161,264
27500,-0.545208,0.170937,458,1953,0.768241,1.08202,267
30000,-0.545323,0.170943,458,1954,0.778039,1.07664,268
32500,-0.54204,0.171148,462,1958,0.806188,1.08215,272
35000,-0.54204,0.17154,462,1958,0.813807,1.08102,272
37500,-0.542457,0.17116,462,1960,0.814951,1.07368,274
40000,-0.543741,0.171846,462,1964,0.799183,1.07565,278
42500,-0.543944,0.171997,462,1965,0.774458,1.0814,279
45000,-0.544969,0.171259,463,1970,0.805129,1.08646,284
47500,-0.544566,0.170947,464,1974,0.806643,1.08384,288
50000,-0.544932,0.171147,464,1976,0.788504,1.08318,290
52500,-0.5448,0.171025,465,1981,0.836374,1.08706,295
55000,-0.544308,0.172002,466,1983,0.843776,1.09003,297
57500,-0.544308,0.172561,466,1984,0.854858,1.07929,298
60000,-0.544341,0.172859,468,1991,0.856146,1.08492,305
62500,-0.544341,0.172628,468,1991,0.873639,1.09268,305
65000,-0.544556,0.173647,468,1992,0.859728,1.09343,306
67500,-0.544792,0.174109,468,1994,0.834671,1.08755,308
70000,-0.544792,0.173532,468,1994,0.82017,1.08313,308
72500,-0.544792,0.173303,468,1994,0.801433,1.08449,308
75000,-0.543889,0.173728,469,1995,0.829689,1.08177,309
77500,-0.544082,0.172267,469,1997,0.831073,1.07555,311
80000,-0.544269,0.171997,469,1998,0.762309,1.08123,312
82500,-0.544915,0.172056,469,2000,0.690945,1.08562,314
85000,-0.545113,0.172961,469,2001,0.693803,1.07809,315
87500,-0.545299,0.172989,469,2002,0.70572,1.08032,316
90000,-0.545299,0.172726,469,2002,0.727684,1.07923,316
92500,-0.545299,0.171498,469,2002,0.699823,1.08807,316
95000,-0.545586,0.170362,469,2004,0.746128,1.07686,318
97500,-0.545586,0.171361,469,2004,0.753641,1.08199,318
100000,-0.546259,0.170247,469,2006,0.835833,1.09735,320
