step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,-0.0207659,0.477704,826,1687,0.306695,2.50512,0
2500,-0.0291057,0.42555,897,1849,0.813566,1.09061,162
5000,-0.0272193,0.4177,911,1874,0.679587,1.0948,187
7500,-0.0323795,0.415415,913,1888,0.7101,1.10989,201
10000,-0.0337354,0.414557,918,1901,0.767229,1.09915,214
12500,-0.0308618,0.413368,926,1911,0.795845,1.10203,224
15000,-0.0274804,0.411091,935,1923,0.707755,1.08309,236
17500,-0.028341,0.411142,938,1931,0.716015,1.09036,244
20000,-0.0292421,0.41102,938,1933,0.483662,1.0848,246
22500,-0.0308356,0.411315,940,1940,0.354401,1.08845,253
25000,-0.0315496,0.409871,941,1944,0.429161,1.26766,257
27500,-0.0328101,0.409587,942,1948,0.583194,1.09155,261
30000,-0.0343524,0.41019,943,1953,0.538152,1.0848,266
32500,-0.0347051,0.409179,943,1954,0.506477,1.08774,267
35000,-0.0344952,0.408487,944,1956,0.498446,1.09855,269
37500,-0.0353675,0.407875,944,1959,0.42165,1.09674,272
40000,-0.0375626,0.407248,945,1965,0.236413,1.09743,278
42500,-0.0367446,0.407391,947,1967,0.322412,1.08176,280
45000,-0.0373553,0.407866,949,1972,0.529261,1.0951,285
47500,-0.0360683,0.408507,952,1976,0.525952,1.10521,289
50000,-0.0350894,0.408823,954,1978,0.584399,1.08156,291
52500,-0.0357166,0.409381,954,1979,0.599077,1.09317,292
55000,-0.0353276,0.409384,956,1983,0.575695,1.09037,296
57500,-0.0349088,0.408969,957,1984,0.531148,1.09049,297
60000,-0.0359784,0.408913,957,1986,0.495664,1.08248,299
62500,-0.0353812,0.407929,958,1987,0.504726,1.08451,300
65000,-0.0349069,0.407315,959,1988,0.495104,1.08126,301
67500,-0.0349069,0.407972,959,1988,0.512969,1.08509,301
70000,-0.0354863,0.407417,959,1989,0.51977,1.08742,302
72500,-0.0349069,0.407827,960,1990,0.468091,1.0842,303
75000,-0.0342757,0.408007,961,1991,0.40554,1.08156,304
77500,-0.0342757,0.407675,961,1991,0.513131,1.0815,304
80000,-0.0337725,0.407131,962,1992,0.602822,1.0808,305
82500,-0.0333541,0.407318,963,1993,0.557541,1.07989,306
85000,-0.0342546,0.407948,964,1997,0.575552,1.07945,310
87500,-0.0342006,0.408776,965,1999,0.582401,1.13141,312
90000,-0.0347916,0.409686,965,2000,0.671945,1.08064,313
92500,-0.0349869,0.410094,966,2002,0.672007,1.07953,315
95000,-0.0350171,0.410416,967,2004,0.667172,1.0815,317
97500,-0.0350171,0.410313,967,2004,0.748139,1.08746,317
100000,-0.0354967,0.410082,967,2005,0.706152,1.08979,318
